latitude,longitude,stars,review_count,is_open,is_chain,Num_of_attributes_shared,RestaurantsPriceRange2,RestaurantsTakeOut_True,RestaurantsTakeOut_False,RestaurantsDelivery_True,RestaurantsDelivery_False,OutdoorSeating_True,OutdoorSeating_False,RestaurantsReservations_True,RestaurantsReservations_False,RestaurantsGoodForGroups_True,RestaurantsGoodForGroups_False,GoodForKids_True,GoodForKids_False,Nightlife,Bars,Sandwiches,American (Traditional),American (New),Fast Food,Breakfast & Brunch,Pizza,Burgers,Coffee & Tea,Mexican,Cafes,Seafood,Italian,Chicken Wings,Salad,Event Planning & Services,Latin American,Food Trucks,Specialty Food,Chinese,Delis,Sushi Bars,Desserts,Caterers,repeat_users,age,reviews_per_week,reactions_per_week,sentiment_score,review_length,user_stars,similar_restaurants_density,all_restaurants_density,relative_reviews_count,relative_reviews_per_week,relative_stars,relative_user_stars,relative_repeat_users,relative_price
27.9552692,-82.4563199,4.0,10,1,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2.6410958904109587,0.06125696101829753,0.28400954653937943,0.7437909090909091,79.81818181818181,5.0,5.0,171.0,-0.405611102048018,-0.5136803408102971,0.40289578981707835,1.0042731692430247,-0.2544482806742956,0.5097285382546269
28.0462028173,-82.5050526736,4.0,23,0,0,17,2,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,1.3835616438356164,0.34653465346534656,1.1366336633663368,0.746572,117.36,4.0,6.0,52.0,-0.6935164727717297,-0.004916136135155366,0.6351981342198485,0.21209957261979195,-0.37109181843465333,1.039230484541326
27.9605142,-82.506127,4.0,35,0,0,18,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.816438356164384,0.14732650739476677,0.12741751990898748,0.6804486486486485,78.1891891891892,4.0,4.0,57.0,-0.5246588763750074,-0.5979078948025977,0.6180254726923974,0.33342982583306285,-0.40029810597227183,-1.1460678437992546
27.890814,-82.5023464,5.0,5,1,0,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0,3.0465753424657533,0.09859154929577464,0.13802816901408452,0.9663999999999999,122.2,5.0,5.0,50.0,-0.8295242725717946,-0.7274998009358037,1.4084056792618556,0.6863630873529409,-0.7878385971583354,0.7500000000000001
28.0548882706,-82.3995484,3.0,5,1,0,6,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4246575342465753,0.14285714285714285,0.14285714285714285,0.68252,102.0,3.0,6.0,44.0,-0.9273568111552132,-0.40636087648920033,-0.7562825218177907,-0.5773502691896257,-0.7510409442899901,1.0
28.09236,-82.500588,4.0,108,1,0,22,2,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,12.01917808219178,0.17153206903899423,0.37737055188578733,0.7482330434782607,97.23478260869565,4.0,6.0,38.0,0.21633637544416123,-0.354673205452649,0.6898619701479713,0.26664212479972366,0.8127166700297433,0.5952291104443191
28.0787347875,-82.5063104158,3.5,42,0,1,18,2,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,2.9013698630136986,0.2974504249291785,0.34372049102927293,0.5965511111111111,98.82222222222222,4.0,5.0,63.0,-0.5705667656964655,-0.4001443732784651,-0.4099990416395908,-0.2222303394841915,-0.2109738477128295,0.41635614025745554
27.9803985924,-82.5377866183,4.5,39,1,1,21,2,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.594520547945206,0.1449814126394052,0.09293680297397769,0.7571794871794869,59.17948717948718,5.0,1.0,48.0,-0.19651822640019703,-0.3316921134776866,2.5511238134019005,2.2165672504517575,-0.5346781070341121,0.4803844614152614
27.9767745,-82.5374233,2.5,55,1,0,18,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.958904109589041,0.22983870967741934,0.1693548387096774,0.3658508771929825,68.71929824561404,2.0,8.0,47.0,0.07762807846535183,0.16235015797286229,-0.6061571699625937,-0.9384673905956746,0.5824199737132904,-1.4896905994842622
28.055212,-82.399374,3.0,140,0,1,19,2,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,10.534246575342467,0.2639791937581274,0.47152145643693105,0.4737606896551723,106.95862068965518,3.0,4.0,44.0,1.1257551747791759,0.15684555099061068,-0.7562825218177907,-0.5773502691896257,1.4230249470757708,1.0
27.9402059,-82.4828837,3.5,7,0,0,17,2,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.9945205479452053,0.033607681755829906,0.12482853223593965,0.6664571428571427,86.57142857142857,4.0,5.0,122.0,-0.5531404372502717,-0.7696037570774423,-0.32194593857639936,-0.10671197907920912,-0.48743503832427265,0.41355733388717386
27.9464963776,-82.3555628732,4.0,5,0,0,6,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0383561643835617,0.09234828496042216,0.055408970976253295,0.5883,126.6,4.0,1.0,11.0,-0.7148706456317472,-0.6181844212355998,0.1873829222489652,0.09223131928520176,-0.7559289460184544,0.7559289460184542
